audit_id	audit_area	item	source	status	evidence	required_action
PHASE9-AUDIT-001	report_presence	Final Phase 9 report exists	reports\final\greenland_shark_longevity_phase9_report.md	PASS	Found reports\final\greenland_shark_longevity_phase9_report.md	Regenerate Phase 9 report if missing.
PHASE9-AUDIT-002	traceability	Primary evidence inputs are cited in report	reports\final\greenland_shark_longevity_phase9_report.md	PASS	All primary Phase 8b inputs are cited.	Add missing primary input paths to the report.
PHASE9-AUDIT-003	traceability	Claims register is explicitly referenced	reports\final\greenland_shark_longevity_phase9_report.md	PASS	Report cites docs/claims_register.md.	Add an explicit claims-register path to the report before public release.
PHASE9-AUDIT-004	language_guardrails	Forbidden overclaiming terms are absent from report body	reports\final\greenland_shark_longevity_phase9_report.md	PASS	No forbidden terms detected.	Rewrite report wording to avoid unsupported pathway-state, gene-state, causal, or proof language.
PHASE9-AUDIT-005	figure_manifest	Figure manifest exists	results\reporting\phase9_figure_manifest.tsv	PASS	Found results\reporting\phase9_figure_manifest.tsv	Regenerate Phase 9 report package if missing.
PHASE9-AUDIT-006	figure_manifest	Expected four Phase 9 figures are registered	results\reporting\phase9_figure_manifest.tsv	PASS	Registered figure rows: 4	Regenerate Phase 9 figures and manifest.
PHASE9-AUDIT-007	figure_files	Figure SVG and figure-data TSV files exist	results\reporting\phase9_figure_manifest.tsv	PASS	All manifest-listed figure files exist.	Regenerate missing figure files before release.
PHASE9-AUDIT-008	figure_interpretability	SVG figures contain metadata, provenance, and guardrail captions	results\reporting\phase9_figure_manifest.tsv	PASS	All SVGs contain required metadata/provenance markers.	Regenerate figures with metadata, source labels, and guardrail captions.
PHASE9-AUDIT-009	figure_stack_policy	Figure stack is suitable for current evidence type	results\reporting\phase9_figure_manifest.tsv	PASS_WITH_CAVEAT	TSV-backed SVGs are appropriate for categorical evidence audits; standard plotting libraries such as matplotlib/ggplot2 are optional for manuscript styling, not required for this repository stage.	If a manuscript or journal figure package is needed, add an optional matplotlib/R export layer that reads the same figure-data TSVs.
PHASE9-AUDIT-010	key_findings	Key findings table exists	results\reporting\phase9_key_findings.tsv	PASS	Found results\reporting\phase9_key_findings.tsv	Regenerate Phase 9 key findings if missing.
PHASE9-AUDIT-011	key_findings	Key finding support files exist locally	results\reporting\phase9_key_findings.tsv	PASS	All supporting files exist locally.	For public release, either include small support tables, publish them as release artifacts, or document how to regenerate them.
